year;winner;gender;country;time;marathon;;
2010;Robert Kiprono Cheruiyot;Male;Kenya;04/05/2018 02:05;Boston;;
2010;Teyba Erkesso;Female;Ethiopia;04/05/2018 02:26;Boston;;
2009;Deriba Merga;Male;Ethiopia;04/05/2018 02:08;Boston;;
2009;Salina Kosgei;Female;Kenya;04/05/2018 02:32;Boston;;
2008;Robert Kipkoech Cheruiyot;Male;Kenya;04/05/2018 02:07;Boston;;
2008;Dire Tune;Female;Ethiopia;04/05/2018 02:25;Boston;;
2007;Robert Kipkoech Cheruiyot;Male;Kenya;04/05/2018 02:14;Boston;;
2007;Lidiya Grigoryeva;Female;Russia;04/05/2018 02:29;Boston;;
2006;Robert Kipkoech Cheruiyot;Male;Kenya;04/05/2018 02:07;Boston;;
2006;Rita Jeptoo;Female;Kenya;04/05/2018 02:23;Boston;;
2005;Hailu Negussie;Male;Ethiopia;04/05/2018 02:11;Boston;;
2005;Catherine Ndereba;Female;Kenya;04/05/2018 02:25;Boston;;
2004;Timothy Cherigat;Male;Kenya;04/05/2018 02:10;Boston;;
2004;Catherine Ndereba;Female;Kenya;04/05/2018 02:24;Boston;;
2003;Robert Kipkoech Cheruiyot;Male;Kenya;04/05/2018 02:10;Boston;;
2003;Svetlana Zakharova;Female;Russia;04/05/2018 02:25;Boston;;
2002;Rodgers Rop;Male;Kenya;04/05/2018 02:09;Boston;;
2002;Margaret Okayo;Female;Kenya;04/05/2018 02:20;Boston;;
2001;Lee Bong-Ju;Male;South Korea;04/05/2018 02:09;Boston;;
2001;Catherine Ndereba;Female;Kenya;04/05/2018 02:23;Boston;;
2000;Elijah Lagat;Male;Kenya;04/05/2018 02:09;Boston;;
2000;Catherine Ndereba;Female;Kenya;04/05/2018 02:26;Boston;;
1999;Joseph Chebet;Male;Kenya;04/05/2018 02:09;Boston;;
1999;Fatuma Roba;Female;Ethiopia;04/05/2018 02:23;Boston;;
1998;Moses Tanui;Male;Kenya;04/05/2018 02:07;Boston;;
1998;Fatuma Roba;Female;Ethiopia;04/05/2018 02:23;Boston;;
1997;Lameck Aguta;Male;Kenya;04/05/2018 02:10;Boston;;
1997;Fatuma Roba;Female;Ethiopia;04/05/2018 02:26;Boston;;
1996;Moses Tanui;Male;Kenya;04/05/2018 02:09;Boston;;
1996;Uta Pippig;Female;Germany;04/05/2018 02:27;Boston;;
1995;Cosmas Ndeti;Male;Kenya;04/05/2018 02:09;Boston;;
1995;Uta Pippig;Female;Germany;04/05/2018 02:25;Boston;;
1994;Cosmas Ndeti;Male;Kenya;04/05/2018 02:07;Boston;;
1994;Uta Pippig;Female;Germany;04/05/2018 02:21;Boston;;
1993;Cosmas Ndeti;Male;Kenya;04/05/2018 02:09;Boston;;
1993;Olga Markova;Female;Russia;04/05/2018 02:25;Boston;;
1992;Ibrahim Hussein;Male;Kenya;04/05/2018 02:08;Boston;;
1992;Olga Markova;Female;Russia;04/05/2018 02:23;Boston;;
1991;Ibrahim Hussein;Male;Kenya;04/05/2018 02:11;Boston;;
1991;Wanda Panfil;Female;Poland;04/05/2018 02:24;Boston;;
1990;Gelindo Bordin;Male;Italy;04/05/2018 02:08;Boston;;
1990;Rosa Mota;Female;Portugal;04/05/2018 02:25;Boston;;
1989;Abebe Mekonnen;Male;Ethiopia;04/05/2018 02:09;Boston;;
1989;Ingrid Kristiansen;Female;Norway;04/05/2018 02:24;Boston;;
1988;Ibrahim Hussein;Male;Kenya;04/05/2018 02:08;Boston;;
1988;Rosa Mota;Female;Portugal;04/05/2018 02:24;Boston;;
1987;Toshihiko Seko;Male;Japan;04/05/2018 02:11;Boston;;
1987;Rosa Mota;Female;Portugal;04/05/2018 02:25;Boston;;
1986;Robert de Castella;Male;Australia;04/05/2018 02:07;Boston;;
1986;Ingrid Kristiansen;Female;Norway;04/05/2018 02:24;Boston;;
1985;Geoff Smith;Male;United Kingdom;04/05/2018 02:14;Boston;;
1985;Lisa Larsen Weidenbach;Female;United States;04/05/2018 02:34;Boston;;
1984;Geoff Smith;Male;United Kingdom;04/05/2018 02:10;Boston;;
1984;Lorraine Moller;Female;New Zealand;04/05/2018 02:29;Boston;;
1983;Greg Meyer;Male;United States;04/05/2018 02:09;Boston;;
1983;Joan Benoit;Female;United States;04/05/2018 02:22;Boston;;
1982;Alberto Salazar;Male;United States;04/05/2018 02:08;Boston;;
